pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1471,2,-1.6183,2,-1.7722,2,2,0
1472,1,-1.6007,4,-1.1515,4,1,3
1473,1,-1.8734,3,-1.3949,3,1,2
1474,3,-1.5083,1,-1.5199,3,1,2
1475,1,-1.9389,2,-0.844,2,1,1
1476,4,-1.7019,2,-0.8213,4,2,2
1477,3,-1.4225,2,-2.7371,3,2,1
1478,3,-1.8253,2,-1.2319,3,2,1
1479,1,-0.8788,3,-1.3828,3,1,2
1480,2,-1.136,4,-1.8072,4,2,2
1481,3,-1.3156,2,-1.4691,3,2,1
1482,3,-1.2246,2,-1.4232,3,2,1
1483,2,-1.8625,1,-1.5739,2,1,1
1484,3,-1.9056,3,-0.8261,3,3,0
1485,3,-2.1367,2,-1.2239,3,2,1
1486,3,-1.5296,3,-1.988,3,3,0
1487,5,-1.6138,2,-1.9285,5,2,3
1488,3,-1.19,2,-1.7608,3,2,1
1489,2,-1.4352,4,-1.5333,4,2,2
1490,3,-1.637,4,-1.6154,4,3,1
1491,3,-1.1695,2,-2.1368,3,2,1
1492,3,-1.2565,1,-1.541,3,1,2
1493,2,-1.2303,2,-1.4601,2,2,0
1494,3,-2.0252,2,-2.2184,3,2,1
1495,3,-1.6452,2,-1.9361,3,2,1
1496,4,-1.4268,2,-1.761,4,2,2
1497,4,-2.3091,3,-2.652,4,3,1
1498,2,-1.6898,1,-1.0509,2,1,1
1499,2,-1.8279,1,-1.9184,2,1,1
1500,1,-1.1591,4,-1.276,4,1,3
1501,2,-1.5048,3,-1.3578,3,2,1
1502,3,-1.7668,2,-1.2355,3,2,1
1503,3,-1.716,1,-1.2521,3,1,2
1504,5,-1.8914,2,-1.0799,5,2,3
1505,4,-1.5933,4,-1.9283,4,4,0
1506,4,-1.4559,3,-1.4775,4,3,1
1507,2,-1.7748,4,-1.626,4,2,2
1508,2,-1.3041,3,-3.1956,3,2,1
1509,3,-1.5066,2,-1.6088,3,2,1
1510,3,-1.4038,1,-2.3176,3,1,2
1511,3,-2.2525,2,-1.8821,3,2,1
1512,3,-1.9796,2,-1.526,3,2,1
1513,3,-2.4625,3,-1.2624,3,3,0
1514,4,-2.1228,3,-1.7634,4,3,1
1515,5,-3.2009,3,-1.8519,5,3,2
1516,2,-1.0462,3,-1.745,3,2,1
1517,2,-1.129,4,-1.7523,4,2,2
